week,manager,team_name,points,points_against,projected_points
15,Travis,Big Bucs No Whammies,154.94,127.38,145.13
15,Jean,Run it Back,127.38,154.94,156.20
15,Jake,Birds Like I'm Julio,211.88,152.76,139.59
15,JL,Post Mahomes,152.76,211.88,131.48
15,Andy,Eli Man Penguin Boy,111.66,165.42,153.01
15,roy s,Obi 'Quon Kenobi,165.42,111.66,143.35
16,Adam,Zeke Virus,87.60,137.08,119.59
16,JL,Post Mahomes,137.08,87.60,123.33
16,Christopher,3HeadedATK,119.18,163.12,121.85
16,Jake,Birds Like I'm Julio,163.12,119.18,146.69
16,Travis,Big Bucs No Whammies,155.16,137.76,153.72
16,roy s,Obi 'Quon Kenobi,137.76,155.16,152.33
16,Jean,Run it Back,160.46,155.96,147.70
16,Andy,Eli Man Penguin Boy,155.96,160.46,141.78
