team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,manager
Da Don Da Da's,9,Buffalo,DEF,Buf,BN,8,Khari
Eli Man Penguin Boy,9,Calvin Ridley,WR,Atl,BN,0,Andy
Big Bucs No Whammies,9,Cameron Brate,TE,TB,TE,0,Travis
Zeke Virus,9,Carlos Hyde,RB,Hou,W/R/T,14,Adam
Zeke Virus,9,Carson Wentz,QB,Phi,BN,16.06,Adam
Birds Like I'm Julio,9,Chase Edmonds,RB,Ari,W/R/T,0,Jake
Game of Jones,9,Chicago,DEF,Chi,DEF,4,Andre
Zeke Virus,9,Chris Carson,RB,Sea,RB,13.3,Adam
Eli Man Penguin Boy,9,Chris Godwin,WR,TB,WR,13.9,Andy
Game of Jones,9,Chris Thompson,RB,Was,RB,0,Andre
3HeadedATK,9,Christian Kirk,WR,Ari,BN,3.6,Christopher
Big Bucs No Whammies,9,Christian McCaffrey,RB,Car,RB,37.6,Travis
Eli Man Penguin Boy,9,Cleveland,DEF,Cle,DEF,5,Andy
Da Don Da Da's,9,Cooper Kupp,WR,LAR,BN,0,Khari
Zeke Virus,9,Corey Davis,WR,Ten,BN,8.8,Adam
Run it Back,9,Courtland Sutton,WR,Den,W/R/T,17.3,Jean
Post Mahomes,9,Curtis Samuel,WR,Car,W/R/T,16.4,JL
Obi 'Quon Kenobi,9,Dak Prescott,QB,Dal,BN,25.48,roy s
Post Mahomes,9,Dallas,DEF,Dal,DEF,18,JL
Eli Man Penguin Boy,9,Dalvin Cook,RB,Min,RB,15.6,Andy
Eli Man Penguin Boy,9,Damien Williams,RB,KC,BN,20.8,Andy
3HeadedATK,9,Daniel Jones,QB,NYG,QB,13.8,Christopher
Da Don Da Da's,9,Darius Slayton,WR,NYG,BN,1.6,Khari
Da Don Da Da's,9,Darren Fells,TE,Hou,BN,7.1,Khari
Eli Man Penguin Boy,9,Darren Waller,TE,LV,TE,7.2,Andy
3HeadedATK,9,Darwin Thompson,RB,KC,BN,0,Christopher
Run it Back,9,Davante Adams,WR,GB,WR,11.1,Jean
Zeke Virus,9,David Johnson,RB,Ari,BN,0,Adam
Birds Like I'm Julio,9,David Montgomery,RB,Chi,RB,22.6,Jake
Eli Man Penguin Boy,9,DeAndre Hopkins,WR,Ari,WR,19.4,Andy
3HeadedATK,9,Dede Westbrook,WR,Jax,BN,0,Christopher
Big Bucs No Whammies,9,Deebo Samuel,WR,SF,BN,8,Travis
Eli Man Penguin Boy,9,Derrick Henry,RB,Ten,RB,24.9,Andy
Run it Back,9,DeSean Jackson,WR,Phi,BN,1.5,Jean
Obi 'Quon Kenobi,9,Deshaun Watson,QB,Hou,QB,21.74,roy s
Run it Back,9,Devin Singletary,RB,Buf,RB,23,Jean
Post Mahomes,9,Devonta Freeman,RB,Atl,BN,0,JL
Big Bucs No Whammies,9,Dion Lewis,RB,NYG,BN,8.3,Travis
Da Don Da Da's,9,DJ Chark Jr.,WR,Jax,WR,7.2,Khari
Run it Back,9,DJ Moore,WR,Car,W/R/T,17.1,Jean
Post Mahomes,9,DK Metcalf,WR,Sea,WR,27,JL
Run it Back,9,Drew Brees,QB,NO,BN,0,Jean
Birds Like I'm Julio,9,Duke Johnson,RB,Hou,BN,19.1,Jake
3HeadedATK,9,Emmanuel Sanders,WR,NO,W/R/T,24.2,Christopher
3HeadedATK,9,Eric Ebron,TE,Pit,TE,3.6,Christopher
Zeke Virus,9,Evan Engram,TE,NYG,TE,11,Adam
3HeadedATK,9,Ezekiel Elliott,RB,Dal,RB,13.9,Christopher
Birds Like I'm Julio,9,Frank Gore,RB,Buf,BN,1.5,Jake
Post Mahomes,9,Gardner Minshew II,QB,Jax,QB,9.76,JL
Game of Jones,9,George Kittle,TE,SF,W/R/T,19.9,Andre
Zeke Virus,9,Gerald Everett,TE,LAR,BN,0,Adam
3HeadedATK,9,Golden Tate,WR,NYG,WR,11.8,Christopher
Birds Like I'm Julio,9,Green Bay,DEF,GB,DEF,2,Jake
3HeadedATK,9,Greg Olsen,TE,Sea,BN,7,Christopher
Game of Jones,9,Greg Zuerlein,K,Dal,BN,0,Andre
Big Bucs No Whammies,9,Harrison Butker,K,KC,K,18,Travis
Run it Back,9,Hunter Henry,TE,LAC,TE,15.4,Jean
Big Bucs No Whammies,9,J.D. McKissic,RB,Was,BN,16.2,Travis
Zeke Virus,9,Jacksonville,DEF,Jax,BN,5,Adam
Da Don Da Da's,9,Jamaal Williams,RB,GB,BN,16.9,Khari
Zeke Virus,9,Jameis Winston,QB,TB,QB,22.2,Adam
Da Don Da Da's,9,James Conner,RB,Pit,BN,0,Khari
Post Mahomes,9,James White,RB,NE,RB,16.4,JL
Birds Like I'm Julio,9,Jamison Crowder,WR,NYJ,BN,22.3,Jake
Eli Man Penguin Boy,9,Jared Cook,TE,NO,BN,0,Andy
Post Mahomes,9,Jared Goff,QB,LAR,BN,0,JL
Eli Man Penguin Boy,9,Jarvis Landry,WR,Cle,W/R/T,17.1,Andy
Obi 'Quon Kenobi,9,Jason Myers,K,Sea,K,8,roy s
Game of Jones,9,Jason Witten,TE,LV,TE,13.8,Andre
