team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,manager
Obi 'Quon Kenobi,9,Vance McDonald,TE,Pit,BN,14,roy s
3HeadedATK,9,Wil Lutz,K,NO,K,0,Christopher
Birds Like I'm Julio,9,Will Fuller V,WR,Hou,BN,0,Jake
Da Don Da Da's,9,Zach Ertz,TE,Phi,TE,25.3,Khari
Big Bucs No Whammies,10,A.J. Brown,WR,Ten,WR,2.7,Travis
Zeke Virus,10,A.J. Green,WR,Cin,BN,0,Adam
Run it Back,10,Aaron Jones,RB,GB,RB,27.3,Jean
Eli Man Penguin Boy,10,Aaron Rodgers,QB,GB,BN,10.02,Andy
Big Bucs No Whammies,10,Adam Thielen,WR,Min,BN,0,Travis
Game of Jones,10,Adrian Peterson,RB,Was,BN,0,Andre
Run it Back,10,Alexander Mattison,RB,Min,BN,6.4,Jean
Birds Like I'm Julio,10,Allen Robinson II,WR,Chi,WR,14.6,Jake
Game of Jones,10,Alshon Jeffery,WR,Phi,BN,0,Andre
Run it Back,10,Alvin Kamara,RB,NO,RB,15.4,Jean
Zeke Virus,10,Amari Cooper,WR,Dal,WR,31.7,Adam
Big Bucs No Whammies,10,Austin Ekeler,RB,LAC,RB,12.8,Travis
Game of Jones,10,Austin Hooper,TE,Cle,BN,11.7,Andre
3HeadedATK,10,Baker Mayfield,QB,Cle,BN,19.62,Christopher
Zeke Virus,10,Baltimore,DEF,Bal,DEF,24,Adam
Game of Jones,10,Brandin Cooks,WR,LAR,W/R/T,0,Andre
Da Don Da Da's,10,Brett Maher,K,Dal,K,6,Khari
Da Don Da Da's,10,Buffalo,DEF,Buf,DEF,5,Khari
Eli Man Penguin Boy,10,Calvin Ridley,WR,Atl,BN,7.7,Andy
Zeke Virus,10,Carlos Hyde,RB,Hou,BN,0,Adam
Zeke Virus,10,Carson Wentz,QB,Phi,BN,0,Adam
Birds Like I'm Julio,10,Chase Edmonds,RB,Ari,BN,0,Jake
Game of Jones,10,Chicago,DEF,Chi,DEF,8,Andre
Zeke Virus,10,Chris Carson,RB,Sea,RB,19.1,Adam
Eli Man Penguin Boy,10,Chris Godwin,WR,TB,WR,13.4,Andy
Game of Jones,10,Chris Thompson,RB,Was,BN,0,Andre
3HeadedATK,10,Christian Kirk,WR,Ari,BN,37.8,Christopher
Big Bucs No Whammies,10,Christian McCaffrey,RB,Car,RB,26.1,Travis
Eli Man Penguin Boy,10,Cleveland,DEF,Cle,DEF,2,Andy
Da Don Da Da's,10,Cooper Kupp,WR,LAR,WR,0,Khari
Zeke Virus,10,Corey Davis,WR,Ten,BN,0,Adam
Run it Back,10,Courtland Sutton,WR,Den,BN,0,Jean
Post Mahomes,10,Curtis Samuel,WR,Car,W/R/T,13.5,JL
Obi 'Quon Kenobi,10,Dak Prescott,QB,Dal,QB,29.88,roy s
Post Mahomes,10,Dallas,DEF,Dal,DEF,0,JL
Eli Man Penguin Boy,10,Dalvin Cook,RB,Min,RB,31.3,Andy
Eli Man Penguin Boy,10,Damien Williams,RB,KC,W/R/T,13.9,Andy
Eli Man Penguin Boy,10,Dan Bailey,K,Min,K,8,Andy
3HeadedATK,10,Daniel Jones,QB,NYG,QB,34.32,Christopher
Da Don Da Da's,10,Darius Slayton,WR,NYG,BN,34.1,Khari
Eli Man Penguin Boy,10,Darren Waller,TE,LV,TE,7,Andy
3HeadedATK,10,Darwin Thompson,RB,KC,BN,1.7,Christopher
Run it Back,10,Davante Adams,WR,GB,WR,18.8,Jean
Zeke Virus,10,David Johnson,RB,Ari,W/R/T,0,Adam
Birds Like I'm Julio,10,David Montgomery,RB,Chi,RB,6,Jake
Eli Man Penguin Boy,10,DeAndre Hopkins,WR,Ari,BN,0,Andy
3HeadedATK,10,Dede Westbrook,WR,Jax,BN,0,Christopher
Big Bucs No Whammies,10,Deebo Samuel,WR,SF,BN,19.2,Travis
Eli Man Penguin Boy,10,Derrick Henry,RB,Ten,RB,33.1,Andy
Run it Back,10,DeSean Jackson,WR,Phi,BN,0,Jean
Obi 'Quon Kenobi,10,Deshaun Watson,QB,Hou,BN,0,roy s
Post Mahomes,10,DeVante Parker,WR,Mia,BN,11.9,JL
Run it Back,10,Devin Singletary,RB,Buf,W/R/T,8,Jean
Post Mahomes,10,Devonta Freeman,RB,Atl,RB,7.8,JL
Big Bucs No Whammies,10,Dion Lewis,RB,NYG,BN,0,Travis
Da Don Da Da's,10,DJ Chark Jr.,WR,Jax,BN,0,Khari
Run it Back,10,DJ Moore,WR,Car,WR,21,Jean
Post Mahomes,10,DK Metcalf,WR,Sea,BN,11,JL
Run it Back,10,Drew Brees,QB,NO,QB,11.48,Jean
Birds Like I'm Julio,10,Duke Johnson,RB,Hou,BN,0,Jake
3HeadedATK,10,Emmanuel Sanders,WR,NO,W/R/T,4.4,Christopher
3HeadedATK,10,Eric Ebron,TE,Pit,TE,10.6,Christopher
Zeke Virus,10,Evan Engram,TE,NYG,BN,0,Adam
3HeadedATK,10,Ezekiel Elliott,RB,Dal,RB,8.3,Christopher
Birds Like I'm Julio,10,Frank Gore,RB,Buf,BN,2.6,Jake
Game of Jones,10,George Kittle,TE,SF,W/R/T,0,Andre
Zeke Virus,10,Gerald Everett,TE,LAR,TE,14.8,Adam
3HeadedATK,10,Golden Tate,WR,NYG,WR,23.5,Christopher
Birds Like I'm Julio,10,Green Bay,DEF,GB,DEF,8,Jake
3HeadedATK,10,Greg Olsen,TE,Sea,BN,17.8,Christopher
Game of Jones,10,Greg Zuerlein,K,Dal,K,4,Andre
Big Bucs No Whammies,10,Harrison Butker,K,KC,K,16,Travis
Run it Back,10,Hunter Henry,TE,LAC,TE,13,Jean
Big Bucs No Whammies,10,Indianapolis,DEF,Ind,DEF,8,Travis
Big Bucs No Whammies,10,J.D. McKissic,RB,Was,BN,11.5,Travis
Da Don Da Da's,10,Jack Doyle,TE,Ind,TE,13.4,Khari
Zeke Virus,10,Jacksonville,DEF,Jax,BN,0,Adam
Da Don Da Da's,10,Jamaal Williams,RB,GB,W/R/T,6.3,Khari
Zeke Virus,10,Jameis Winston,QB,TB,QB,21.32,Adam
Da Don Da Da's,10,James Conner,RB,Pit,BN,0,Khari
Post Mahomes,10,James White,RB,NE,BN,0,JL
Birds Like I'm Julio,10,Jamison Crowder,WR,NYJ,W/R/T,19.1,Jake
Eli Man Penguin Boy,10,Jared Cook,TE,NO,BN,13.4,Andy
Post Mahomes,10,Jared Goff,QB,LAR,QB,5.72,JL
Eli Man Penguin Boy,10,Jarvis Landry,WR,Cle,WR,24.7,Andy
Obi 'Quon Kenobi,10,Jason Myers,K,Sea,BN,11,roy s
Game of Jones,10,Jason Witten,TE,LV,TE,3.7,Andre
Obi 'Quon Kenobi,10,Jaylen Samuels,RB,Pit,RB,7,roy s
Obi 'Quon Kenobi,10,Jimmy Graham,TE,Chi,BN,7.9,roy s
3HeadedATK,10,Joe Mixon,RB,Cin,BN,17.1,Christopher
Run it Back,10,Joey Slye,K,Car,K,6,Jean
Birds Like I'm Julio,10,John Brown,WR,Buf,W/R/T,12.7,Jake
Big Bucs No Whammies,10,Jordan Howard,RB,Mia,BN,0,Travis
Run it Back,10,Josh Allen,QB,Buf,BN,25.44,Jean
Da Don Da Da's,10,Josh Gordon,WR,Sea,BN,4.7,Khari
Post Mahomes,10,Josh Jacobs,RB,LV,RB,19.1,JL
Game of Jones,10,Josh Lambo,K,Jax,BN,0,Andre
Post Mahomes,10,JuJu Smith-Schuster,WR,Pit,BN,7.4,JL
Run it Back,10,Julian Edelman,WR,NE,BN,0,Jean
Game of Jones,10,Julio Jones,WR,Atl,WR,10.9,Andre
Zeke Virus,10,Justin Tucker,K,Bal,K,7,Adam
Birds Like I'm Julio,10,Ka'imi Fairbairn,K,Hou,BN,0,Jake
Eli Man Penguin Boy,10,Kareem Hunt,RB,Cle,BN,14.4,Andy
Da Don Da Da's,10,Keenan Allen,WR,LAC,WR,16.6,Khari
Post Mahomes,10,Kenny Golladay,WR,Det,WR,14.7,JL
Game of Jones,10,Kenny Stills,WR,Hou,BN,0,Andre
Eli Man Penguin Boy,10,Kenyan Drake,RB,Ari,W/R/T,10.1,Andy
3HeadedATK,10,Kerryon Johnson,RB,Det,BN,0,Christopher
Birds Like I'm Julio,10,Kirk Cousins,QB,Min,BN,21.3,Jake
Eli Man Penguin Boy,10,Kyler Murray,QB,Ari,QB,30.76,Andy
Birds Like I'm Julio,10,Lamar Jackson,QB,Bal,QB,36.42,Jake
Birds Like I'm Julio,10,Latavius Murray,RB,NO,BN,3.9,Jake
Obi 'Quon Kenobi,10,Le'Veon Bell,RB,NYJ,RB,16.8,roy s
Obi 'Quon Kenobi,10,Leonard Fournette,RB,Jax,BN,0,roy s
Obi 'Quon Kenobi,10,LeSean McCoy,RB,KC,BN,0,roy s
Eli Man Penguin Boy,10,Los Angeles,DEF,LAR,BN,19,Andy
Post Mahomes,10,Mark Andrews,TE,Bal,TE,23.3,JL
Big Bucs No Whammies,10,Mark Ingram II,RB,Bal,W/R/T,9.4,Travis
Zeke Virus,10,Mark Walton,RB,Mia,BN,0,Adam
3HeadedATK,10,Marlon Mack,RB,Ind,RB,9.2,Christopher
Big Bucs No Whammies,10,Marquez Valdes-Scantling,WR,GB,BN,0,Travis
Game of Jones,10,Marquise Brown,WR,Bal,WR,18,Andre
Obi 'Quon Kenobi,10,Marvin Jones Jr.,WR,Det,W/R/T,12.7,roy s
Post Mahomes,10,Mason Crosby,K,GB,K,7,JL
Run it Back,10,Matt Breida,RB,SF,BN,4.5,Jean
Obi 'Quon Kenobi,10,Matt Gay,K,TB,K,14,roy s
Birds Like I'm Julio,10,Matthew Stafford,QB,Det,BN,0,Jake
Post Mahomes,10,Mecole Hardman,WR,KC,BN,13.3,JL
Da Don Da Da's,10,Melvin Gordon III,RB,Den,RB,20.3,Khari
Zeke Virus,10,Michael Gallup,WR,Dal,WR,17.6,Adam
Obi 'Quon Kenobi,10,Michael Thomas,WR,NO,WR,28.2,roy s
3HeadedATK,10,Mike Evans,WR,TB,W/R/T,12.2,Christopher
Big Bucs No Whammies,10,Mike Gesicki,TE,Mia,TE,3.8,Travis
Obi 'Quon Kenobi,10,Mike Williams,WR,LAC,W/R/T,7.5,roy s
Post Mahomes,10,Miles Sanders,RB,Phi,BN,0,JL
3HeadedATK,10,Minnesota,DEF,Min,DEF,3,Christopher
Obi 'Quon Kenobi,10,Mohamed Sanu,WR,NE,BN,0,roy s
Game of Jones,10,N'Keal Harry,WR,NE,BN,0,Andre
3HeadedATK,10,Nelson Agholor,WR,LV,BN,0,Christopher
Obi 'Quon Kenobi,10,New England,DEF,NE,BN,0,roy s
Obi 'Quon Kenobi,10,New Orleans,DEF,NO,DEF,3,roy s
Da Don Da Da's,10,Nick Chubb,RB,Cle,RB,14.1,Khari
Run it Back,10,O.J. Howard,TE,TB,BN,14.7,Jean
Post Mahomes,10,Odell Beckham Jr.,WR,Cle,WR,10.7,JL
Game of Jones,10,Patrick Mahomes,QB,KC,QB,32.84,Andre
Big Bucs No Whammies,10,Philadelphia,DEF,Phi,BN,0,Travis
Da Don Da Da's,10,Philip Rivers,QB,Ind,QB,15.28,Khari
Da Don Da Da's,10,Phillip Lindsay,RB,Den,BN,0,Khari
Run it Back,10,Pittsburgh,DEF,Pit,DEF,25,Jean
Big Bucs No Whammies,10,Randall Cobb,WR,Hou,BN,22.6,Travis
Da Don Da Da's,10,Robby Anderson,WR,Car,BN,2.1,Khari
Run it Back,10,Robert Woods,WR,LAR,W/R/T,16.5,Jean
Big Bucs No Whammies,10,Ronald Jones II,RB,TB,W/R/T,22.6,Travis
Big Bucs No Whammies,10,Russell Wilson,QB,Sea,QB,18.58,Travis
Post Mahomes,10,Ryquell Armstead,RB,Jax,BN,0,JL
Eli Man Penguin Boy,10,Sammy Watkins,WR,KC,BN,10.1,Andy
Da Don Da Da's,10,San Francisco,DEF,SF,BN,19,Khari
Birds Like I'm Julio,10,Saquon Barkley,RB,NYG,RB,8.1,Jake
Game of Jones,10,Sony Michel,RB,NE,BN,0,Andre
Obi 'Quon Kenobi,10,Stefon Diggs,WR,Buf,WR,7.9,roy s
Obi 'Quon Kenobi,10,Sterling Shepard,WR,NYG,BN,0,roy s
Zeke Virus,10,T.Y. Hilton,WR,Ind,BN,0,Adam
Game of Jones,10,Tarik Cohen,RB,Chi,RB,13.7,Andre
Eli Man Penguin Boy,10,Terry McLaurin,WR,Was,BN,0,Andy
Zeke Virus,10,Tevin Coleman,RB,SF,RB,11.2,Adam
Zeke Virus,10,Todd Gurley II,RB,LAR,W/R/T,7.3,Adam
Game of Jones,10,Tom Brady,QB,TB,BN,0,Andre
Post Mahomes,10,Tony Pollard,RB,Dal,BN,-0.4,JL
Birds Like I'm Julio,10,Travis Kelce,TE,KC,TE,20.5,Jake
3HeadedATK,10,Tyler Boyd,WR,Cin,WR,12.2,Christopher
Birds Like I'm Julio,10,Tyler Lockett,WR,Sea,WR,5.9,Jake
Big Bucs No Whammies,10,Tyreek Hill,WR,KC,WR,33,Travis
Da Don Da Da's,10,Tyrell Williams,WR,LV,W/R/T,5.5,Khari
Obi 'Quon Kenobi,10,Vance McDonald,TE,Pit,TE,4.3,roy s
3HeadedATK,10,Wil Lutz,K,NO,K,10,Christopher
Birds Like I'm Julio,10,Will Fuller V,WR,Hou,BN,0,Jake
Da Don Da Da's,10,Zach Ertz,TE,Phi,BN,0,Khari
Post Mahomes,10,Zach Pascal,WR,Ind,W/R/T,4.6,JL
Birds Like I'm Julio,10,Zane Gonzalez,K,Ari,K,11,Jake
Zeke Virus,11,A.J. Green,WR,Cin,BN,0,Adam
Run it Back,11,Aaron Jones,RB,GB,BN,0,Jean
Eli Man Penguin Boy,11,Aaron Rodgers,QB,GB,BN,0,Andy
Big Bucs No Whammies,11,Adam Thielen,WR,Min,BN,0,Travis
Game of Jones,11,Adrian Peterson,RB,Was,BN,5,Andre
Run it Back,11,Alexander Mattison,RB,Min,BN,0.5,Jean
Birds Like I'm Julio,11,Allen Robinson II,WR,Chi,WR,5.5,Jake
Game of Jones,11,Alshon Jeffery,WR,Phi,BN,0,Andre
Run it Back,11,Alvin Kamara,RB,NO,RB,22.2,Jean
Zeke Virus,11,Amari Cooper,WR,Dal,WR,6.8,Adam
Big Bucs No Whammies,11,Austin Ekeler,RB,LAC,RB,21.2,Travis
Game of Jones,11,Austin Hooper,TE,Cle,BN,0,Andre
3HeadedATK,11,Baker Mayfield,QB,Cle,QB,23.82,Christopher
Zeke Virus,11,Baltimore,DEF,Bal,BN,15,Adam
Game of Jones,11,Brandin Cooks,WR,LAR,W/R/T,0,Andre
Da Don Da Da's,11,Brett Maher,K,Dal,K,9,Khari
Big Bucs No Whammies,11,Brian Hill,RB,Atl,W/R/T,4.8,Travis
Da Don Da Da's,11,Buffalo,DEF,Buf,BN,10,Khari
Eli Man Penguin Boy,11,Calvin Ridley,WR,Atl,BN,28.3,Andy
Zeke Virus,11,Carlos Hyde,RB,Hou,RB,12.5,Adam
Zeke Virus,11,Carson Wentz,QB,Phi,BN,13.26,Adam
Birds Like I'm Julio,11,Chase Edmonds,RB,Ari,BN,0,Jake
Game of Jones,11,Chicago,DEF,Chi,DEF,5,Andre
Zeke Virus,11,Chris Carson,RB,Sea,BN,0,Adam
Eli Man Penguin Boy,11,Chris Godwin,WR,TB,WR,13.7,Andy
Game of Jones,11,Chris Thompson,RB,Was,BN,0,Andre
3HeadedATK,11,Christian Kirk,WR,Ari,BN,10.2,Christopher
Big Bucs No Whammies,11,Christian McCaffrey,RB,Car,RB,30.1,Travis
Eli Man Penguin Boy,11,Cleveland,DEF,Cle,BN,16,Andy
Run it Back,11,Cole Beasley,WR,Buf,BN,7.8,Jean
Da Don Da Da's,11,Cooper Kupp,WR,LAR,WR,8.3,Khari
Zeke Virus,11,Corey Davis,WR,Ten,BN,0,Adam
Run it Back,11,Courtland Sutton,WR,Den,W/R/T,18.82,Jean
Post Mahomes,11,Curtis Samuel,WR,Car,W/R/T,6.5,JL
Obi 'Quon Kenobi,11,Dak Prescott,QB,Dal,BN,34.56,roy s
Post Mahomes,11,Dallas,DEF,Dal,BN,3,JL
Eli Man Penguin Boy,11,Dalvin Cook,RB,Min,RB,16.7,Andy
Eli Man Penguin Boy,11,Damien Williams,RB,KC,RB,2.3,Andy
Eli Man Penguin Boy,11,Dan Bailey,K,Min,K,3,Andy
3HeadedATK,11,Daniel Jones,QB,NYG,BN,0,Christopher
Da Don Da Da's,11,Darius Slayton,WR,NYG,BN,0,Khari
Big Bucs No Whammies,11,Darren Fells,TE,Hou,TE,2.8,Travis
Eli Man Penguin Boy,11,Darren Waller,TE,LV,TE,12.6,Andy
3HeadedATK,11,Darwin Thompson,RB,KC,BN,0,Christopher
Run it Back,11,Davante Adams,WR,GB,BN,0,Jean
Zeke Virus,11,David Johnson,RB,Ari,W/R/T,0,Adam
Birds Like I'm Julio,11,David Montgomery,RB,Chi,RB,6,Jake
Eli Man Penguin Boy,11,DeAndre Hopkins,WR,Ari,WR,15,Andy
3HeadedATK,11,Dede Westbrook,WR,Jax,BN,7.2,Christopher
Big Bucs No Whammies,11,Deebo Samuel,WR,SF,WR,21.4,Travis
Da Don Da Da's,11,Derek Carr,QB,LV,QB,21.78,Khari
Eli Man Penguin Boy,11,Derrick Henry,RB,Ten,BN,0,Andy
Zeke Virus,11,Derrius Guice,RB,Was,BN,13.9,Adam
Obi 'Quon Kenobi,11,Deshaun Watson,QB,Hou,QB,4.96,roy s
Run it Back,11,Devin Singletary,RB,Buf,RB,8.9,Jean
Post Mahomes,11,Devonta Freeman,RB,Atl,BN,0,JL
Da Don Da Da's,11,DJ Chark Jr.,WR,Jax,W/R/T,30.4,Khari
Run it Back,11,DJ Moore,WR,Car,WR,17.5,Jean
Post Mahomes,11,DK Metcalf,WR,Sea,BN,0,JL
Run it Back,11,Drew Brees,QB,NO,BN,24.12,Jean
Birds Like I'm Julio,11,Duke Johnson,RB,Hou,RB,6.4,Jake
3HeadedATK,11,Emmanuel Sanders,WR,SF,WR,6.3,Christopher
3HeadedATK,11,Eric Ebron,TE,Ind,BN,6.7,Christopher
Zeke Virus,11,Evan Engram,TE,NYG,BN,0,Adam
3HeadedATK,11,Ezekiel Elliott,RB,Dal,RB,19.3,Christopher
Game of Jones,11,George Kittle,TE,SF,W/R/T,0,Andre
Zeke Virus,11,Gerald Everett,TE,LAR,TE,3,Adam
3HeadedATK,11,Golden Tate,WR,NYG,BN,0,Christopher
Birds Like I'm Julio,11,Green Bay,DEF,GB,BN,0,Jake
3HeadedATK,11,Greg Olsen,TE,Car,TE,10.7,Christopher
Game of Jones,11,Greg Zuerlein,K,Dal,K,5,Andre
Big Bucs No Whammies,11,Harrison Butker,K,KC,K,7,Travis
Run it Back,11,Hunter Henry,TE,LAC,TE,14.9,Jean
Big Bucs No Whammies,11,Indianapolis,DEF,Ind,DEF,10,Travis
Big Bucs No Whammies,11,J.D. McKissic,RB,Det,BN,8.3,Travis
Da Don Da Da's,11,Jack Doyle,TE,Ind,BN,0,Khari
Zeke Virus,11,Jacksonville,DEF,Jax,DEF,6,Adam
Da Don Da Da's,11,Jamaal Williams,RB,GB,BN,0,Khari
Zeke Virus,11,Jameis Winston,QB,TB,QB,20.82,Adam
Da Don Da Da's,11,James Conner,RB,Pit,W/R/T,2.6,Khari
Post Mahomes,11,James White,RB,NE,RB,9.6,JL
Birds Like I'm Julio,11,Jamison Crowder,WR,NYJ,WR,18.6,Jake
Eli Man Penguin Boy,11,Jared Cook,TE,NO,BN,11.3,Andy
Post Mahomes,11,Jared Goff,QB,LAR,QB,6.22,JL
Eli Man Penguin Boy,11,Jarvis Landry,WR,Cle,W/R/T,14.3,Andy
Obi 'Quon Kenobi,11,Jason Myers,K,Sea,BN,0,roy s
Game of Jones,11,Jason Witten,TE,LV,TE,8.3,Andre
Obi 'Quon Kenobi,11,Jaylen Samuels,RB,Pit,BN,15.5,roy s
Obi 'Quon Kenobi,11,Jimmy Graham,TE,Chi,BN,0,roy s
3HeadedATK,11,Joe Mixon,RB,Cin,W/R/T,17.3,Christopher
Run it Back,11,Joey Slye,K,Car,K,3,Jean
Birds Like I'm Julio,11,John Brown,WR,Buf,W/R/T,34.7,Jake
Big Bucs No Whammies,11,Jordan Howard,RB,Phi,BN,0,Travis
Run it Back,11,Josh Allen,QB,Buf,QB,36.84,Jean
Da Don Da Da's,11,Josh Gordon,WR,Sea,BN,0,Khari
Post Mahomes,11,Josh Jacobs,RB,LV,RB,13.4,JL
Game of Jones,11,Josh Lambo,K,Jax,BN,1,Andre
Post Mahomes,11,JuJu Smith-Schuster,WR,Pit,BN,4.1,JL
Run it Back,11,Julian Edelman,WR,NE,WR,15.9,Jean
Game of Jones,11,Julio Jones,WR,Atl,WR,14.7,Andre
Zeke Virus,11,Justin Tucker,K,Bal,K,12,Adam
Birds Like I'm Julio,11,Ka'imi Fairbairn,K,Hou,K,1,Jake
Eli Man Penguin Boy,11,Kareem Hunt,RB,Cle,BN,11.8,Andy
Da Don Da Da's,11,Keenan Allen,WR,LAC,WR,21.1,Khari
Post Mahomes,11,Kenny Golladay,WR,Det,WR,4.4,JL
Game of Jones,11,Kenny Stills,WR,Hou,BN,6.7,Andre
Eli Man Penguin Boy,11,Kenyan Drake,RB,Ari,BN,14,Andy
3HeadedATK,11,Kerryon Johnson,RB,Det,BN,0,Christopher
Birds Like I'm Julio,11,Kirk Cousins,QB,Min,BN,25.86,Jake
Eli Man Penguin Boy,11,Kyler Murray,QB,Ari,QB,28.7,Andy
Birds Like I'm Julio,11,Lamar Jackson,QB,Bal,QB,36.78,Jake
Run it Back,11,Larry Fitzgerald,WR,Ari,BN,12.7,Jean
Birds Like I'm Julio,11,Latavius Murray,RB,NO,BN,5.2,Jake
Obi 'Quon Kenobi,11,Le'Veon Bell,RB,NYJ,RB,17.2,roy s
Obi 'Quon Kenobi,11,Leonard Fournette,RB,Jax,RB,12.7,roy s
Obi 'Quon Kenobi,11,LeSean McCoy,RB,KC,BN,15.7,roy s
Eli Man Penguin Boy,11,Los Angeles,DEF,LAR,DEF,9,Andy
Post Mahomes,11,Mark Andrews,TE,Bal,TE,17.5,JL
Big Bucs No Whammies,11,Mark Ingram II,RB,Bal,W/R/T,23.5,Travis
3HeadedATK,11,Marlon Mack,RB,Ind,RB,16.9,Christopher
Big Bucs No Whammies,11,Marquez Valdes-Scantling,WR,GB,BN,0,Travis
Game of Jones,11,Marquise Brown,WR,Bal,WR,4.3,Andre
Obi 'Quon Kenobi,11,Marvin Jones Jr.,WR,Det,W/R/T,19.9,roy s
Run it Back,11,Matt Breida,RB,SF,BN,0,Jean
Obi 'Quon Kenobi,11,Matt Gay,K,TB,K,7,roy s
Big Bucs No Whammies,11,Matt Ryan,QB,Atl,QB,17.44,Travis
Birds Like I'm Julio,11,Matthew Stafford,QB,Det,BN,0,Jake
Post Mahomes,11,Mecole Hardman,WR,KC,BN,3.3,JL
Da Don Da Da's,11,Melvin Gordon III,RB,Den,RB,12,Khari
Zeke Virus,11,Michael Gallup,WR,Dal,WR,23.8,Adam
Obi 'Quon Kenobi,11,Michael Thomas,WR,NO,WR,25.4,roy s
3HeadedATK,11,Mike Evans,WR,TB,W/R/T,10.9,Christopher
Obi 'Quon Kenobi,11,Mike Williams,WR,LAC,BN,9.6,roy s
Post Mahomes,11,Miles Sanders,RB,Phi,BN,6.7,JL
3HeadedATK,11,Minnesota,DEF,Min,DEF,4,Christopher
Obi 'Quon Kenobi,11,Mohamed Sanu,WR,NE,W/R/T,3.2,roy s
Game of Jones,11,N'Keal Harry,WR,NE,BN,4.8,Andre
3HeadedATK,11,Nelson Agholor,WR,Phi,BN,8,Christopher
Obi 'Quon Kenobi,11,New England,DEF,NE,DEF,11,roy s
Obi 'Quon Kenobi,11,New Orleans,DEF,NO,BN,17,roy s
Birds Like I'm Julio,11,New York,DEF,NYJ,DEF,9,Jake
Da Don Da Da's,11,Nick Chubb,RB,Cle,RB,9.2,Khari
Post Mahomes,11,Nick Folk,K,NE,K,9,JL
Run it Back,11,O.J. Howard,TE,TB,BN,0,Jean
Post Mahomes,11,Odell Beckham Jr.,WR,Cle,WR,10,JL
Game of Jones,11,Patrick Mahomes,QB,KC,QB,17.18,Andre
Big Bucs No Whammies,11,Philadelphia,DEF,Phi,BN,2,Travis
Da Don Da Da's,11,Philip Rivers,QB,Ind,BN,17.12,Khari
Birds Like I'm Julio,11,Phillip Dorsett II,WR,Sea,W/R/T,12.3,Jake
Da Don Da Da's,11,Phillip Lindsay,RB,Den,BN,9.5,Khari
Run it Back,11,Pittsburgh,DEF,Pit,DEF,1,Jean
Big Bucs No Whammies,11,Randall Cobb,WR,Dal,BN,21.5,Travis
Run it Back,11,Robert Woods,WR,LAR,W/R/T,0,Jean
Big Bucs No Whammies,11,Ronald Jones II,RB,TB,BN,3.4,Travis
Big Bucs No Whammies,11,Russell Wilson,QB,Sea,BN,0,Travis
Post Mahomes,11,Ryquell Armstead,RB,Jax,BN,3.9,JL
Eli Man Penguin Boy,11,Sammy Watkins,WR,KC,BN,4.6,Andy
Da Don Da Da's,11,San Francisco,DEF,SF,DEF,14,Khari
Birds Like I'm Julio,11,Saquon Barkley,RB,NYG,BN,0,Jake
Game of Jones,11,Sony Michel,RB,NE,BN,6.4,Andre
Obi 'Quon Kenobi,11,Stefon Diggs,WR,Buf,WR,23.1,roy s
Obi 'Quon Kenobi,11,Sterling Shepard,WR,NYG,BN,0,roy s
Zeke Virus,11,T.Y. Hilton,WR,Ind,BN,0,Adam
Game of Jones,11,Tarik Cohen,RB,Chi,RB,18.4,Andre
Eli Man Penguin Boy,11,Terry McLaurin,WR,Was,W/R/T,9.9,Andy
Zeke Virus,11,Tevin Coleman,RB,SF,RB,9.2,Adam
Zeke Virus,11,Todd Gurley II,RB,LAR,W/R/T,20.3,Adam
Game of Jones,11,Tom Brady,QB,TB,BN,8.54,Andre
Post Mahomes,11,Tony Pollard,RB,Dal,BN,17.6,JL
Birds Like I'm Julio,11,Travis Kelce,TE,KC,TE,22.2,Jake
3HeadedATK,11,Tyler Boyd,WR,Cin,WR,2,Christopher
Birds Like I'm Julio,11,Tyler Lockett,WR,Sea,BN,0,Jake
Big Bucs No Whammies,11,Tyreek Hill,WR,KC,WR,0,Travis
Da Don Da Da's,11,Tyrell Williams,WR,LV,BN,12.2,Khari
Obi 'Quon Kenobi,11,Vance McDonald,TE,Pit,TE,6.3,roy s
Post Mahomes,11,Washington,DEF,Was,DEF,5,JL
3HeadedATK,11,Wil Lutz,K,NO,K,11,Christopher
Birds Like I'm Julio,11,Will Fuller V,WR,Hou,BN,0,Jake
Da Don Da Da's,11,Zach Ertz,TE,Phi,TE,18.4,Khari
Post Mahomes,11,Zach Pascal,WR,Ind,W/R/T,3.7,JL
Zeke Virus,12,A.J. Green,WR,Cin,BN,0,Adam
Run it Back,12,Aaron Jones,RB,GB,RB,3.8,Jean
Eli Man Penguin Boy,12,Aaron Rodgers,QB,GB,QB,10.46,Andy
Big Bucs No Whammies,12,Adam Thielen,WR,Min,BN,0,Travis
Game of Jones,12,Adrian Peterson,RB,Was,BN,5.9,Andre
Run it Back,12,Alexander Mattison,RB,Min,BN,0,Jean
Birds Like I'm Julio,12,Allen Robinson II,WR,Chi,WR,25.1,Jake
Game of Jones,12,Alshon Jeffery,WR,Phi,BN,0,Andre
Run it Back,12,Alvin Kamara,RB,NO,RB,19.2,Jean
Zeke Virus,12,Amari Cooper,WR,Dal,WR,0,Adam
Big Bucs No Whammies,12,Austin Ekeler,RB,LAC,BN,0,Travis
Game of Jones,12,Austin Hooper,TE,Cle,BN,0,Andre
3HeadedATK,12,Baker Mayfield,QB,Cle,QB,27.58,Christopher
